Game,Top_Topics
Battlefield 4™,"nan, nan nan, exploding nan, nan exploding, nan darn; 1110 best, 1110 funny, 1110, ever 1110, 1110 sad; garbage, garbage garbage, hate, hate terraria, hate everything"
Battlefield: Bad Company™ 2,"fps classic, best ever, ever greatest, best ive, greatest"
Battlefield™ 1,"time killer, funnny lov, funnny, fr funnny, killer; keeps crashing, glitching, constantly crashes, unplayable, fps; yes, yep, yeah, yes yes, ye"
Battlefield™ 2042,"negative reviews, negative review, reviews buy, positive review, reviews anyway; pay win, free players, paying free, pay sadly, nothing free; garbage, garbage garbage, hate, hate terraria, hate everything"
Battlefield™ Hardline,"invasion byzantine, im evil, hear jerusalem, puking priest, holy warred"
Battlefield™ V,"bad, bad bad, bad yea, horribly bad, bad yeah"
Battlefleet Gothic: Armada,
Battlefleet Gothic: Armada 2,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Battlegrounds of Eldhelm,"nan, nan nan, exploding nan, nan exploding, nan darn"
Battlerite,"vraiment, ce jeu, un jeu, que je, ce que"
Battlerite Royale,"nan, nan nan, exploding nan, nan exploding, nan darn"
Battlestar Galactica Deadlock,
Battletoads,
Bayonetta,"gameplay, rpg, bad, characters, character; excellent port, port excellent, terrible port, final fantasy, nice port; dark souls, kingdom hearts, infinitely replayable, replayability onetime, ride life"
Beacon,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Beacon Patrol: First Horizons,"kid named, named wheely, named snail, wheely kid, named grass"
BeamNG.drive,"invasion byzantine, im evil, hear jerusalem, puking priest, holy warred; keeps crashing, glitching, constantly crashes, unplayable, fps; gta, gta5, gta4, gta iv, gta online"
Beat Blast,
Beat Cop,"cops robbers, splinter cell, robocop, gameplay, swat"
Beat Saber,"hogwarts come, dream hogwarts, harry potter, hogwarts, time consuming; time killer, funnny lov, funnny, fr funnny, killer; best vr, vr premise, vr flight, vr experience, vr environment"
Becastled,
Bedlam,
Bee Simulator,"city builder, base building, build, recommend, rimworld"
Beecarbonize,"story mode, pilgrim saga, walking dead, narrative, observer insights"
Before Nightfall,
Before Nightfall: Summertime,
Before We Leave,"city builder, base building, build, recommend, rimworld"
Before Your Eyes,
Beholder,
Beholder 2,"combat system, move infantry, operation northwoods, strategy, combat"
Beholder 3,"jrpg, gameplay, undertale, persona, characters"
Being a DIK - Season 1,"best coop, coop experience, coop friend, coop coop, coop; bad, bad bad, bad yea, horribly bad, bad yeah"
Bejeweled 2 Deluxe,"soundtrackmusic, soundtrackmusic ive, soundtrack music, soundtracks ill, soundtrack"
Belladonna,
Below Sunshade,"depression, others life, life, lost miserable, selfinflicted"
Ben 10: Power Trip,"story mode, pilgrim saga, walking dead, narrative, observer insights"
Bendy and the Ink Machine,"horror experience, horror, psychological horror, survival horror, silent hill"
Beneath Oresa,"slay spire, slay spirelike, spire, spire like, spire clone"
Berserk Mode,
Berserker's Descent,
Besiege,"yes, yep, yeah, yes yes, ye; gep aaaaaaaahhh, harrrhurr ermrrmm, ermrrmm magurddd, together geyyyyyyy, brik stik; keeps crashing, glitching, constantly crashes, unplayable, fps"
Bet On Soldier,
Betrayer,
Better Late Than DEAD,
Between Two Castles - Digital Edition,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Beyond Citadel,
Beyond Eyes,
Beyond Good & Evil - 20th Anniversary Edition,
Beyond Good and Evil™,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Beyond Gravity,
Beyond Hanwell,"horror experience, horror, psychological horror, survival horror, silent hill"
Beyond a Steel Sky,"gameplay, sequel, remaster, original adventures, improved"
Beyond: Two Souls,"invasion byzantine, im evil, hear jerusalem, puking priest, holy warred; dark souls, soulslike, soul dark, souls, souls though"
Biblios Dice,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Big Brain Wolf,
Big Pharma,
Bigscreen Beta,"ok, fine, ok ok, ok fine, smart ok"
Billy's Nightmare,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Binary Domain,"remastered looks, remaster, remastered, remastered dont, gameplay"
Bio Inc. Redemption,
BioShock Infinite,"fps classic, best ever, ever greatest, best ive, greatest; story mode, pilgrim saga, walking dead, narrative, observer insights; gameplay, sequel, remaster, original adventures, improved"
BioShock Infinite - Season Pass,"buy bundle, bundle buy, bundle dont, bundle worth, bundle bad; price indie, ultimate edition, price, cost, humble bundle"
BioShock Infinite: Burial at Sea - Episode One,
BioShock Infinite: Burial at Sea - Episode Two,"gameplay, sequel, remaster, original adventures, improved"
BioShock Infinite: Clash in the Clouds,
BioShock® 2,"combat system, move infantry, operation northwoods, strategy, combat; 10 10, 10, 10 one, one, "
BioShock™,"well, gam well, well boy, gam, boy"
BioShock™ 2 Remastered,"nan, nan nan, exploding nan, nan exploding, nan darn; gameplay, sequel, remaster, original adventures, improved; keeps crashing, glitching, constantly crashes, unplayable, fps"
BioShock™ Remastered,"fps classic, best ever, ever greatest, best ive, greatest; depression, others life, life, lost miserable, selfinflicted; combat system, move infantry, operation northwoods, strategy, combat"
Bionic Commando,"time killer, funnny lov, funnny, fr funnny, killer; playable bugs, ps4 controller, unplayable, playstation controller, playable updates"
Bionic Commando: Rearmed,
Bionic Dues,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Bioshock Infinite: Columbia's Finest,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Bit Blaster XL,
Bitardia,
Bitburner,
Black Book,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Black Desert,"amazing, incredible, fantastic, amazing amazing, magnificent"
Black Desert (Retired),"nan, nan nan, exploding nan, nan exploding, nan darn"
Black Legend,
Black Mesa,"halflife, half life, halflife source, life series, original half; remastered looks, remaster, remastered, remastered dont, gameplay; gameplay, sequel, remaster, original adventures, improved"
Black Mirror I,"remastered looks, remaster, remastered, remastered dont, gameplay"
Black Mirror III,"gameplay, sequel, remaster, original adventures, improved"
Black Myth: Wukong,
Black Skylands,
Black Squad,"amazing start, nice, nice nice, nice story, nice tech"
Blackguards,
Blacklight: Retribution,
Blacksad: Under the Skin,"dark souls, kingdom hearts, infinitely replayable, replayability onetime, ride life; extremely addictive, addictive, pretty enjoyable, addicting, really recommend"
Blackwake,"gameplay, rpg, bad, characters, character"
Blackwell Convergence,
Blackwell Epiphany,
Blackwell Unbound,
Blade & Bones,
Blade Runner: Enhanced Edition,"fps classic, best ever, ever greatest, best ive, greatest"
Blade and Sorcery,"invasion byzantine, im evil, hear jerusalem, puking priest, holy warred; hogwarts come, dream hogwarts, harry potter, hogwarts, time consuming"
Bladed fury,"much gameplay, gameplay, characters, novel, ive read"
Blameless,
Blasphemous,"metroidvania souls, metroidvania platformer, sequel metro, metroidvania, metro 2033; playable bugs, ps4 controller, unplayable, playstation controller, playable updates"
Blasphemous - 'Alloy of Sin' Character Skin,"price indie, ultimate edition, price, cost, humble bundle"
Blasphemous - Digital Comic,"downloadable content, dlc, dlcs, season pass, content offers"
Blast-off,"amazing start, nice, nice nice, nice story, nice tech"
BlazBlue Centralfiction,"ea, valve, fortnite, ubisoft, exclusive content"
BlazBlue: Chronophantasma Extend,
Blazing Beaks,"slay spire, slay spirelike, spire, spire like, spire clone"
Bleak Faith: Forsaken,"dark souls, soulslike, soul dark, souls, souls though"
Bleed,
Bleed 2,"gameplay, sequel, remaster, original adventures, improved"
Bleeding Roots,"everything ok, fine ok, alr ok, ok fine, okay"
Blender,"horrible soundtrack, soundtrack, old soundtrack, music dissapointing, murdering audio; brazil simulator, serbia simulator, simulator bolivia, simulator amazing, ukraine simulator"
Bless Online,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Blitzkrieg 3,
Block N Load,
Block'hood,"extremely addictive, addictive, pretty enjoyable, addicting, really recommend"
Blockwick 2,"solve puzzles, adventure, puzzles, portal, puzzle"
Blood And Zombies,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Blood Bowl 3,
Blood Bowl: Chaos Edition,
Blood Bowl: Death Zone,
Blood Card,
Blood Card 2: Dark Mist,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Blood II: The Chosen + Expansion,
Blood Metal,
Blood Rage: Digital Edition,"zombie survival, kill zombies, best zombie, zombies, zombie"
Blood Spear,
Blood Trail,
Blood West,"cops robbers, splinter cell, robocop, gameplay, swat"
Blood and Bacon,"price indie, ultimate edition, price, cost, humble bundle; well, gam well, well boy, gam, boy; extremely addictive, addictive, pretty enjoyable, addicting, really recommend"
BloodRayne: Terminal Cut,
Bloodline Champions,"nan, nan nan, exploding nan, nan exploding, nan darn"
Bloodroots,
Bloodshore,
Bloodstained: Ritual of the Night,
Blood™ Fresh Supply,"bullets reload, person shooter, innovative shooter, tactical shooter, like shooting; price indie, ultimate edition, price, cost, humble bundle; fps classic, best ever, ever greatest, best ive, greatest"
Bloons TD 5,"best frenchise, frenchise ever, tis really, rly like, best"
Bloons TD 6,"dark souls, kingdom hearts, infinitely replayable, replayability onetime, ride life; bad, bad bad, bad yea, horribly bad, bad yeah; time killer, funnny lov, funnny, fr funnny, killer"
Bloons TD Battles 2,
Blossom Tales: The Sleeping King,
Blue Estate The Game,"negative reviews, negative review, reviews buy, positive review, reviews anyway"
Blue Prince,"roguelike, roguelikes, roguelite, gameplay, roguelites; solve puzzles, adventure, puzzles, portal, puzzle"
BlueberryNOVA,
Blueprint Tycoon,"city builder, base building, build, recommend, rimworld"
Bodycam,
Bomb Chicken,
Bomb Rush Cyberfunk,
Bomb Squad Academy,
Bomber Crew,
Bonbon,"horror experience, horror, psychological horror, survival horror, silent hill"
Bone: Out From Boneville,
Boneraiser Minions,"vampire survivorslike, vampire survivors, survivors genre, survivorslike, themed vampire; rpg, gameplay, adventure, buy adventure, pokemon"
Bongo Cat,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Boogeyman,"kid named, named wheely, named snail, wheely kid, named grass"
Book of Demons,"roguelike, roguelikes, roguelite, gameplay, roguelites; diablo, diablo diablo, successor diablo, better diablo, strategy diablo2"
Book of Travels,
Boomerang X,
Booty Calls,"friends boring, friends intense, boring friends, boring tedious, friends"
Borderlands 2,"garbage, garbage garbage, hate, hate terraria, hate everything; bullets reload, person shooter, innovative shooter, tactical shooter, like shooting; best coop, coop experience, coop friend, coop coop, coop"
Borderlands 2 VR,
Borderlands 2: Commander Lilith & the Fight for Sanctuary,"downloadable content, dlc, dlcs, season pass, content offers"
Borderlands 3,"gameplay, rpg, bad, characters, character; robes nothing, three robes, robes, cosmetic pack, downloadable content; gg, dnt gg, gg gg, gg pk, gfhfghfgh dnt"
Borderlands 3: Amara Final Form Pack,"price indie, ultimate edition, price, cost, humble bundle"
Borderlands 3: Boost Mods Pack,
Borderlands 3: Bounty of Blood,"downloadable content, dlc, dlcs, season pass, content offers"
Borderlands 3: Butt Stallion Cosmetic Pack,
Borderlands 3: Designer's Cut,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Borderlands 3: Digital Deluxe Extras,
Borderlands 3: FL4K Final Form Pack,"price indie, ultimate edition, price, cost, humble bundle"
Borderlands 3: Gearbox Cosmetic Pack,
Borderlands 3: Gold Weapon Skins Pack,"price indie, ultimate edition, price, cost, humble bundle"
"Borderlands 3: Guns, Love, and Tentacles",
Borderlands 3: Moze Final Form Pack,"price indie, ultimate edition, price, cost, humble bundle"
Borderlands 3: Neon Cosmetic Pack,"price indie, ultimate edition, price, cost, humble bundle"
Borderlands 3: Psycho Krieg and the Fantastic Fustercluck,"downloadable content, dlc, dlcs, season pass, content offers"
Borderlands 3: Retro Cosmetic Pack,
Borderlands 3: Season Pass,
Borderlands 3: Zane Final Form Pack,
Borderlands Game of the Year,
Borderlands Game of the Year Enhanced,"garbage, garbage garbage, hate, hate terraria, hate everything"
Borderlands: The Pre-Sequel,"leaderboard, global leaderboard, see leaderboard, leaderboard unlikely, leaderboard end"
Borderless Gaming,"negative reviews, negative review, reviews buy, positive review, reviews anyway; keeps crashing, glitching, constantly crashes, unplayable, fps"
Bosorka,"horrible soundtrack, soundtrack, old soundtrack, music dissapointing, murdering audio"
Boss Monster,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Bounty Train,"little charming, charming little, charming, excited, touching little"
Bounty of One,
Braid,"solve puzzles, adventure, puzzles, portal, puzzle"
BrainBread 2,"everything ok, fine ok, alr ok, ok fine, okay"
Brass,"gameplay, rpg, bad, characters, character"
Brave Hand,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Braveland,
Bravery and Greed,
Brawlhalla,"bad, bad bad, bad yea, horribly bad, bad yeah; best frenchise, frenchise ever, tis really, rly like, best; nan, nan nan, exploding nan, nan exploding, nan darn"
Brawlout,
Breach Wanderers,"slay spire, slay spirelike, spire, spire like, spire clone"
Breachway,
Breadsticks,"bad, bad bad, bad yea, horribly bad, bad yeah"
Break the Empire,
Breathedge,"space combat, galactic civilizations, subnautica, endless space, gameplay; survival genre, mode survival, fancy survival, survival, long survival"
Breathedge 2 Demo,
Brick Rigs,"kid named, named wheely, named snail, wheely kid, named grass; gep aaaaaaaahhh, harrrhurr ermrrmm, ermrrmm magurddd, together geyyyyyyy, brik stik"
Bridge Constructor Portal,
Brigador: Up-Armored Edition,"depression, others life, life, lost miserable, selfinflicted"
Bright Memory,"buy bundle, bundle buy, bundle dont, bundle worth, bundle bad"
Bright Memory: Infinite,"rpg, gameplay, adventure, buy adventure, pokemon; cod campaign, best cod, campaign cod, cod series, cod multiplayer"
Brilliant Shadows - Part One of the Book of Gray Magic,
Broforce,"fps classic, best ever, ever greatest, best ive, greatest"
Broken Age,"rpg, gameplay, adventure, buy adventure, pokemon; solve puzzles, adventure, puzzles, portal, puzzle"
Broken Banners,
Broken Sword - Shadow of the Templars: Reforged,"remastered looks, remaster, remastered, remastered dont, gameplay"
